parameter_id,parameter,value,evidence_status,confidence,source_category,source_name,source_url_or_local_file,dataset_name,dataset_field,record_identifier,retrieval_date,publication_date,evidence_quote,normalized_value,normalization_rule,scope,recency,contradictory_sources,used_by_decision_engine,used_in_eligibility,used_in_ranking,displayed_in_ui,ACTION,Priority,Recipient department,Suggested recipient role,Required evidence,Suggested question,Request status,Last request date,Follow-up date,Ranking impact
gluten_free,Gluten-free,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Dietary,Registered Dietitian or Dietary Services Director,"Provide gluten-free diet protocol, cross-contamination controls, and dietitian oversight.","Can you provide a medically required gluten-free diet, how is cross-contamination prevented, and does a registered dietitian supervise the plan?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
kosher,Kosher,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Dietary,Registered Dietitian or Dietary Services Director,"Provide current dated documentation that directly verifies Kosher, including scope, responsible staff, and any limitations.","Can you confirm whether Kosher is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
religious_cultural_services,Religious/cultural services,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Religious/cultural services, including scope, responsible staff, and any limitations.","Can you confirm whether Religious/cultural services is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
activities,Activities,YES,CLAIMED_BY_FACILITY,HIGH,Facility-owned primary sources,Runtime Discovery Activity,database/florida_facility_parameter_evidence.json,Runtime Discovery Activity,UNKNOWN,activity:76,2026-07-29 05:05:24.769088,2026-07-29 05:05:24.769088,Runtime discovery found activity category 'social'.,YES,BEST_EVIDENCE_SELECTION,SERVICE,FRESH,NONE_DETECTED,YES,NO,YES,YES,REQUEST_STRONGER_VERIFICATION,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Activities, including scope, responsible staff, and any limitations.","Can you confirm whether Activities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
transportation,Transportation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Transportation, including scope, responsible staff, and any limitations.","Can you confirm whether Transportation is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
amenities,Amenities,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Amenities, including scope, responsible staff, and any limitations.","Can you confirm whether Amenities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
private_shared_rooms,Private/shared rooms,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Private/shared rooms, including scope, responsible staff, and any limitations.","Can you confirm whether Private/shared rooms is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
accessibility,Accessibility,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Accessibility, including scope, responsible staff, and any limitations.","Can you confirm whether Accessibility is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
payer_information,Payer information,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide the current accepted-payer list and verification requirements.,"Which Medicare, Medicaid, Medicare Advantage, commercial insurance, and private-pay options are currently accepted?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
medicaid_attributes,Medicaid attributes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Medicaid attributes, including scope, responsible staff, and any limitations.","Can you confirm whether Medicaid attributes is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
medicare_attributes,Medicare attributes,YES,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Provider Type,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Provider Type,Provider Type,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,CMS certification number present; Medicare certification verified from CMS source.,YES,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,YES,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
published_rates,Published rates,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide the current written rate sheet and all mandatory charges.,What are the current daily or monthly rates and all required additional charges?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
fees,Fees,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Fees, including scope, responsible staff, and any limitations.","Can you confirm whether Fees is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
current_availability,Current bed/unit availability,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,NO,YES,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Admissions,Admissions Director or Financial Counselor,Provide a dated census/bed-availability confirmation.,"Do you currently have an appropriate skilled-nursing or rehabilitation bed available, and what is the earliest admission date?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
earliest_admission_date,Earliest admission date,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,NO,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Earliest admission date, including scope, responsible staff, and any limitations.","Can you confirm whether Earliest admission date is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
waiting_list,Waiting list,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,NO,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Waiting list, including scope, responsible staff, and any limitations.","Can you confirm whether Waiting list is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
current_price,Current price,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,NO,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide a dated patient-specific price quote or current rate sheet.,What is the current expected private-pay price for a rehabilitation/skilled-nursing admission?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
current_promotions,Current promotions,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,UNIT,UNKNOWN,NONE_DETECTED,YES,NO,NO,YES,REQUEST_PRIMARY_EVIDENCE,LOW,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Current promotions, including scope, responsible staff, and any limitations.","Can you confirm whether Current promotions is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Primarily improves profile completeness; no current direct ranking effect proven.
general_rehabilitation,General Rehabilitation,YES,INFERRED,MEDIUM,OPTIME proprietary intelligence,Governed Derived Evidence,database/florida_facility_parameter_evidence.json,Governed Derived Evidence,UNKNOWN,derived:general_rehabilitation:CMS-105719,2026-07-29 05:05:24.763824,2026-07-29 05:05:24.763824,General rehabilitation evidence exists from one or more governed therapy/short-stay signals.,YES,BEST_EVIDENCE_SELECTION,PROGRAM,FRESH,NONE_DETECTED,YES,NO,NO,YES,REQUEST_STRONGER_VERIFICATION,LOW,Rehabilitation,Rehabilitation Director,"Provide current dated documentation that directly verifies General Rehabilitation, including scope, responsible staff, and any limitations.","Can you confirm whether General Rehabilitation is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Primarily improves profile completeness; no current direct ranking effect proven.
functional_adl_outcome_signal,Functional ADL Outcome Signal,YES,VERIFIED,HIGH,Federal government sources,CMS Quality Measures,https://data.cms.gov/provider-data/dataset/djen-97ju,backend/app/data/quality_measures.csv,UNKNOWN,105719,2026-06-01,2025Q1-2025Q4,CMS functional outcome measure 401 is available for ADL change tracking.,YES,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,NO,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
functional_mobility_outcome_signal,Functional Mobility Outcome Signal,YES,VERIFIED,HIGH,Federal government sources,CMS Quality Measures,https://data.cms.gov/provider-data/dataset/djen-97ju,backend/app/data/quality_measures.csv,UNKNOWN,105719,2026-06-01,2025Q1-2025Q4,CMS functional outcome measure 451 is available for mobility/walking change tracking.,YES,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,NO,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
